transaction_id,adult_id,age_years,age_group_source,transaction_date,year,month,category,merchant,amount_usd,monthly_budget_usd,annual_budget_usd
T0000001,A01,67,65-74 years,2024-01-25T17:59,2024,1,Vehicle purchases (net outlay),Vehicle purchases Shop 1,280.02,5544.24,66530.90
T0000002,A01,67,65-74 years,2024-01-18T14:03,2024,1,Estimated market value of owned home,Estimated market Shop 3,91.99,5544.24,66530.90
T0000003,A01,67,65-74 years,2024-01-22T19:47,2024,1,Estimated market value of owned home,Estimated market Shop 5,144.26,5544.24,66530.90
T0000004,A01,67,65-74 years,2024-01-28T07:14,2024,1,Estimated market value of owned home,Estimated market Shop 2,79.59,5544.24,66530.90
T0000005,A01,67,65-74 years,2024-01-09T15:31,2024,1,Estimated market value of owned home,Estimated market Shop 4,106.00,5544.24,66530.90
T0000006,A01,67,65-74 years,2024-01-19T11:28,2024,1,Estimated market value of owned home,Estimated market Shop 3,100.39,5544.24,66530.90
T0000007,A01,67,65-74 years,2024-01-14T19:22,2024,1,Estimated market value of owned home,Estimated market Shop 6,27.07,5544.24,66530.90
T0000008,A01,67,65-74 years,2024-01-05T10:05,2024,1,Estimated market value of owned home,Estimated market Shop 1,137.29,5544.24,66530.90
T0000009,A01,67,65-74 years,2024-01-24T07:08,2024,1,Healthcare,Healthcare Shop 4,105.34,5544.24,66530.90
T0000010,A01,67,65-74 years,2024-01-09T12:38,2024,1,Income before taxes,Income before Shop 5,152.91,5544.24,66530.90
T0000011,A01,67,65-74 years,2024-01-13T16:11,2024,1,Estimated market value of owned home,Estimated market Shop 9,72.26,5544.24,66530.90
T0000012,A01,67,65-74 years,2024-01-20T16:38,2024,1,Income before taxes,Income before Shop 3,133.92,5544.24,66530.90
T0000013,A01,67,65-74 years,2024-01-29T10:48,2024,1,Estimated market value of owned home,Estimated market Shop 5,34.92,5544.24,66530.90
T0000014,A01,67,65-74 years,2024-01-27T17:52,2024,1,Estimated market value of owned home,Estimated market Shop 8,175.94,5544.24,66530.90
T0000015,A01,67,65-74 years,2024-01-02T12:42,2024,1,Income before taxes,Income before Shop 9,21.95,5544.24,66530.90
T0000016,A01,67,65-74 years,2024-01-07T17:46,2024,1,Estimated market value of owned home,Estimated market Shop 3,145.72,5544.24,66530.90
T0000017,A01,67,65-74 years,2024-01-30T11:37,2024,1,Income before taxes,Income before Shop 1,34.64,5544.24,66530.90
T0000018,A01,67,65-74 years,2024-01-16T17:20,2024,1,Estimated market value of owned home,Estimated market Shop 3,124.20,5544.24,66530.90
T0000019,A01,67,65-74 years,2024-01-22T13:55,2024,1,Medical supplies,Medical supplies Shop 6,101.38,5544.24,66530.90
T0000020,A01,67,65-74 years,2024-01-13T20:40,2024,1,Estimated market value of owned home,Estimated market Shop 8,10.81,5544.24,66530.90
T0000021,A01,67,65-74 years,2024-01-29T08:13,2024,1,Owned dwellings,Owned dwellings Shop 7,63.22,5544.24,66530.90
T0000022,A01,67,65-74 years,2024-01-29T12:06,2024,1,Estimated market value of owned home,Estimated market Shop 3,117.89,5544.24,66530.90
T0000023,A01,67,65-74 years,2024-01-25T16:13,2024,1,Estimated market value of owned home,Estimated market Shop 2,203.61,5544.24,66530.90
T0000024,A01,67,65-74 years,2024-01-02T16:02,2024,1,Estimated market value of owned home,Estimated market Shop 6,58.62,5544.24,66530.90
T0000025,A01,67,65-74 years,2024-01-05T10:58,2024,1,Estimated market value of owned home,Estimated market Shop 9,240.70,5544.24,66530.90
T0000026,A01,67,65-74 years,2024-01-02T18:47,2024,1,Food,Food Shop 9,140.73,5544.24,66530.90
T0000027,A01,67,65-74 years,2024-01-29T16:25,2024,1,Estimated market value of owned home,Estimated market Shop 5,112.91,5544.24,66530.90
T0000028,A01,67,65-74 years,2024-01-08T21:57,2024,1,Estimated market value of owned home,Estimated market Shop 1,115.95,5544.24,66530.90
T0000029,A01,67,65-74 years,2024-01-10T15:06,2024,1,Wages and salaries,Wages and Shop 4,127.36,5544.24,66530.90
T0000030,A01,67,65-74 years,2024-01-11T21:42,2024,1,Estimated market value of owned home,Estimated market Shop 5,60.13,5544.24,66530.90
T0000031,A01,67,65-74 years,2024-01-18T10:36,2024,1,Estimated market value of owned home,Estimated market Shop 9,307.18,5544.24,66530.90
T0000032,A01,67,65-74 years,2024-01-27T20:21,2024,1,Estimated market value of owned home,Estimated market Shop 2,113.62,5544.24,66530.90
T0000033,A01,67,65-74 years,2024-01-04T10:34,2024,1,Estimated market value of owned home,Estimated market Shop 7,12.42,5544.24,66530.90
T0000034,A01,67,65-74 years,2024-01-14T16:07,2024,1,Estimated market value of owned home,Estimated market Shop 6,13.48,5544.24,66530.90
T0000035,A01,67,65-74 years,2024-01-12T07:06,2024,1,Estimated market value of owned home,Estimated market Shop 6,23.90,5544.24,66530.90
T0000036,A01,67,65-74 years,2024-01-10T12:55,2024,1,Estimated market value of owned home,Estimated market Shop 3,101.99,5544.24,66530.90
T0000037,A01,67,65-74 years,2024-01-18T08:25,2024,1,Estimated market value of owned home,Estimated market Shop 8,73.08,5544.24,66530.90
T0000038,A01,67,65-74 years,2024-01-16T14:03,2024,1,Income before taxes,Income before Shop 5,116.44,5544.24,66530.90
T0000039,A01,67,65-74 years,2024-01-28T14:48,2024,1,Cereals and bakery products,Cereals and Shop 2,143.59,5544.24,66530.90
T0000040,A01,67,65-74 years,2024-01-01T12:55,2024,1,Estimated market value of owned home,Estimated market Shop 8,190.84,5544.24,66530.90
T0000041,A01,67,65-74 years,2024-01-30T21:26,2024,1,Estimated market value of owned home,Estimated market Shop 5,100.72,5544.24,66530.90
T0000042,A01,67,65-74 years,2024-01-12T12:11,2024,1,"Retirement, pensions, and Social Security",Retirement pensions Shop 2,39.94,5544.24,66530.90
T0000043,A01,67,65-74 years,2024-01-21T12:22,2024,1,Estimated market value of owned home,Estimated market Shop 4,81.08,5544.24,66530.90
T0000044,A01,67,65-74 years,2024-01-04T07:27,2024,1,Other food at home,Other food Shop 4,130.11,5544.24,66530.90
T0000045,A01,67,65-74 years,2024-01-03T13:08,2024,1,"Social Security, private and government retirement",Social Security Shop 9,190.24,5544.24,66530.90
T0000046,A01,67,65-74 years,2024-01-24T10:20,2024,1,Estimated market value of owned home,Estimated market Shop 4,139.97,5544.24,66530.90
T0000047,A01,67,65-74 years,2024-01-28T21:46,2024,1,Estimated market value of owned home,Estimated market Shop 4,8.70,5544.24,66530.90
T0000048,A01,67,65-74 years,2024-01-06T13:59,2024,1,Estimated market value of owned home,Estimated market Shop 2,8.00,5544.24,66530.90
T0000049,A01,67,65-74 years,2024-01-31T14:19,2024,1,Estimated market value of owned home,Estimated market Shop 9,134.60,5544.24,66530.90
T0000050,A01,67,65-74 years,2024-01-22T09:22,2024,1,Estimated market value of owned home,Estimated market Shop 6,26.50,5544.24,66530.90
T0000051,A01,67,65-74 years,2024-01-17T19:49,2024,1,Shelter,Shelter Shop 6,63.46,5544.24,66530.90
T0000052,A01,67,65-74 years,2024-01-09T11:49,2024,1,Estimated market value of owned home,Estimated market Shop 2,202.66,5544.24,66530.90
T0000053,A01,67,65-74 years,2024-02-24T09:46,2024,2,"Social Security, private and government retirement",Social Security Shop 8,54.36,5544.24,66530.90
T0000054,A01,67,65-74 years,2024-02-04T15:59,2024,2,Estimated market value of owned home,Estimated market Shop 4,381.70,5544.24,66530.90
T0000055,A01,67,65-74 years,2024-02-25T11:00,2024,2,Public and other transportation,Public and Shop 6,63.97,5544.24,66530.90
T0000056,A01,67,65-74 years,2024-02-29T18:19,2024,2,Cellular phone service,Cellular phone Shop 2,64.79,5544.24,66530.90
T0000057,A01,67,65-74 years,2024-02-18T12:21,2024,2,Estimated market value of owned home,Estimated market Shop 6,39.18,5544.24,66530.90
T0000058,A01,67,65-74 years,2024-02-12T15:23,2024,2,Estimated market value of owned home,Estimated market Shop 9,86.44,5544.24,66530.90
T0000059,A01,67,65-74 years,2024-02-05T07:00,2024,2,Income before taxes,Income before Shop 7,103.41,5544.24,66530.90
T0000060,A01,67,65-74 years,2024-02-12T21:13,2024,2,Estimated market value of owned home,Estimated market Shop 1,21.58,5544.24,66530.90
T0000061,A01,67,65-74 years,2024-02-06T09:43,2024,2,Medical services,Medical services Shop 3,112.55,5544.24,66530.90
T0000062,A01,67,65-74 years,2024-02-28T14:03,2024,2,Estimated market value of owned home,Estimated market Shop 8,134.95,5544.24,66530.90
T0000063,A01,67,65-74 years,2024-02-10T14:35,2024,2,Estimated market value of owned home,Estimated market Shop 1,62.49,5544.24,66530.90
T0000064,A01,67,65-74 years,2024-02-27T11:04,2024,2,Income before taxes,Income before Shop 2,181.36,5544.24,66530.90
T0000065,A01,67,65-74 years,2024-02-10T12:05,2024,2,Housing,Housing Shop 1,65.37,5544.24,66530.90
T0000066,A01,67,65-74 years,2024-02-02T21:39,2024,2,Estimated market value of owned home,Estimated market Shop 1,15.50,5544.24,66530.90
T0000067,A01,67,65-74 years,2024-02-04T14:01,2024,2,Other household products,Other household Shop 2,136.25,5544.24,66530.90
T0000068,A01,67,65-74 years,2024-02-16T09:22,2024,2,Estimated market value of owned home,Estimated market Shop 8,100.24,5544.24,66530.90
T0000069,A01,67,65-74 years,2024-02-28T18:01,2024,2,Estimated market value of owned home,Estimated market Shop 9,11.23,5544.24,66530.90
T0000070,A01,67,65-74 years,2024-02-21T07:19,2024,2,Income before taxes,Income before Shop 2,357.96,5544.24,66530.90
T0000071,A01,67,65-74 years,2024-02-18T15:28,2024,2,Estimated market value of owned home,Estimated market Shop 6,95.84,5544.24,66530.90
T0000072,A01,67,65-74 years,2024-02-17T18:55,2024,2,Entertainment,Entertainment Shop 1,125.11,5544.24,66530.90
T0000073,A01,67,65-74 years,2024-02-04T08:34,2024,2,Estimated market value of owned home,Estimated market Shop 8,10.38,5544.24,66530.90
T0000074,A01,67,65-74 years,2024-02-07T16:58,2024,2,"Social Security, private and government retirement",Social Security Shop 3,279.94,5544.24,66530.90
T0000075,A01,67,65-74 years,2024-02-14T20:30,2024,2,Estimated market value of owned home,Estimated market Shop 4,68.19,5544.24,66530.90
T0000076,A01,67,65-74 years,2024-02-15T21:25,2024,2,Income before taxes,Income before Shop 2,102.15,5544.24,66530.90
T0000077,A01,67,65-74 years,2024-02-04T08:24,2024,2,Estimated market value of owned home,Estimated market Shop 8,345.41,5544.24,66530.90
T0000078,A01,67,65-74 years,2024-02-10T16:30,2024,2,Estimated market value of owned home,Estimated market Shop 8,28.00,5544.24,66530.90
T0000079,A01,67,65-74 years,2024-02-13T19:46,2024,2,Estimated market value of owned home,Estimated market Shop 1,52.54,5544.24,66530.90
T0000080,A01,67,65-74 years,2024-02-13T12:11,2024,2,Estimated market value of owned home,Estimated market Shop 8,64.31,5544.24,66530.90
T0000081,A01,67,65-74 years,2024-02-15T10:26,2024,2,Housing,Housing Shop 1,24.99,5544.24,66530.90
T0000082,A01,67,65-74 years,2024-02-05T11:47,2024,2,Estimated market value of owned home,Estimated market Shop 1,7.42,5544.24,66530.90
T0000083,A01,67,65-74 years,2024-02-21T10:52,2024,2,Transportation,Transportation Shop 6,90.71,5544.24,66530.90
